,complexity,loss,score,equation,sympy_format,lambda_format
0,1,0.0180704454546967,0.0,0.6619178862353404,0.6619178862353404,PySRFunction(X=>0.6619178862353404)
1,2,0.0180704452682248,1.0319164576118757e-08,exp(-0.4126892088302495),0.6618679535813798,PySRFunction(X=>0.6618679535813798)
2,3,0.0173399915224373,0.04126226314672201,x4 ^ 0.3716170560683488,x4**0.3716170560683488,PySRFunction(X=>x4**0.3716170560683488)
3,4,0.0143407033936946,0.1899135973174566,exp(-0.3390745727076857 - x1),0.7124293193248245*exp(-x1),PySRFunction(X=>0.7124293193248245*exp(-x1))
4,5,0.0046100501396095,1.134863151912251,0.4520530585346569 ^ (x1 ^ x3),0.4520530585346569**(x1**x3),PySRFunction(X=>0.4520530585346569**(x1**x3))
5,6,0.0046100499231345,4.695719112772079e-08,exp(-0.7939967145769028) ^ (x1 ^ x3),0.4520345271456512**(x1**x3),PySRFunction(X=>0.4520345271456512**(x1**x3))
6,7,0.0033362718808262,0.3233847060390067,0.49937067618793296 ^ ((x1 ^ x3) + x1),0.49937067618793296**(x1 + x1**x3),PySRFunction(X=>0.49937067618793296**(x1 + x1**x3))
7,8,0.0031534953718457,0.05634250072840176,exp(-0.7094599600857668 - x1) ^ (x1 ^ x3),(0.4919097766564236*exp(-x1))**(x1**x3),PySRFunction(X=>(0.4919097766564236*exp(-x1))**(x1**x3))
8,9,0.0031034637171571,0.015992663636040547,0.394918250412873 ^ ((x1 / 0.6796377919851504) ^ (x3 ^ 0.7212877408430131)),0.394918250412873**((1.471371974591209*x1)**(x3**0.7212877408430131)),PySRFunction(X=>0.394918250412873**((1.471371974591209*x1)**(x3**0.7212877408430131)))
9,10,0.0029797933427526,0.04066486581678491,exp(-0.8114133683090783 - x1) ^ (x1 ^ (x3 ^ 0.8588556987278824)),(0.4442297620473011*exp(-x1))**(x1**(x3**0.8588556987278824)),PySRFunction(X=>(0.4442297620473011*exp(-x1))**(x1**(x3**0.8588556987278824)))
